iter	Passed	Remaining
827	1596	331
828	1598	329
829	1599	327
830	1601	325
831	1603	323
832	1605	321
833	1612	321
834	1614	319
835	1616	317
836	1618	315
837	1619	313
838	1620	311
839	1623	309
840	1624	307
841	1626	305
842	1627	303
843	1629	301
844	1630	299
845	1632	297
846	1633	295
847	1635	293
848	1637	291
849	1639	289
850	1640	287
851	1642	285
852	1644	283
853	1645	281
854	1647	279
855	1648	277
856	1650	275
857	1651	273
858	1653	271
859	1654	269
860	1656	267
861	1657	265
862	1659	263
863	1661	261
864	1662	259
865	1664	257
866	1665	255
867	1667	253
868	1668	251
869	1670	249
870	1671	247
871	1673	245
872	1674	243
873	1676	241
874	1677	239
875	1679	237
876	1681	235
877	1682	233
878	1684	231
879	1685	229
880	1687	227
881	1688	225
882	1690	224
883	1692	222
884	1694	220
885	1695	218
886	1697	216
887	1698	214
888	1700	212
889	1701	210
890	1703	208
891	1705	206
892	1706	204
893	1708	202
894	1709	200
895	1711	198
896	1712	196
897	1714	194
898	1715	192
899	1717	190
900	1718	188
901	1720	186
902	1722	185
903	1724	183
904	1725	181
905	1727	179
906	1729	177
907	1730	175
908	1732	173
909	1733	171
910	1735	169
911	1737	167
912	1738	165
913	1740	163
914	1741	161
915	1743	159
916	1745	157
917	1746	156
918	1747	154
919	1749	152
920	1751	150
921	1753	148
922	1754	146
923	1756	144
924	1757	142
925	1759	140
926	1760	138
927	1762	136
928	1763	134
929	1765	132
930	1767	131
931	1769	129
932	1770	127
933	1772	125
934	1773	123
935	1775	121
936	1776	119
937	1778	117
938	1780	115
939	1782	113
940	1783	111
941	1785	109
942	1786	107
943	1788	106
944	1789	104
945	1791	102
946	1793	100
947	1794	98
948	1796	96
949	1797	94
950	1799	92
951	1800	90
952	1802	88
953	1803	86
954	1805	85
955	1807	83
956	1808	81
957	1810	79
958	1811	77
959	1813	75
960	1814	73
961	1816	71
962	1817	69
963	1819	67
964	1821	66
965	1823	64
966	1824	62
967	1827	60
968	1828	58
969	1830	56
970	1831	54
971	1833	52
972	1834	50
973	1836	49
974	1837	47
975	1839	45
976	1841	43
977	1842	41
978	1844	39
979	1845	37
980	1847	35
981	1848	33
982	1850	32
983	1852	30
984	1853	28
985	1855	26
986	1856	24
987	1858	22
988	1859	20
989	1861	18
990	1863	16
991	1865	15
992	1867	13
993	1869	11
994	1871	9
995	1873	7
996	1874	5
997	1876	3
998	1877	1
999	1879	0
